date,market,category,commodity,unit,price,H-date
2/15/2013,National Average,miscellaneous food,Sugar,KG,0.79,2/15/2013
2/15/2013,National Average,oil and fats,Oil (olive),KG,5.07,2/15/2013
2/15/2013,National Average,oil and fats,Oil (vegetable),1.8 L,1.85,2/15/2013
2/15/2013,National Average,pulses and nuts,"Beans (fava, dry)",KG,1.49,2/15/2013
2/15/2013,National Average,pulses and nuts,Chickpeas,KG,1.78,2/15/2013
2/15/2013,National Average,pulses and nuts,Lentils,KG,1.28,2/15/2013
2/15/2013,National Average,vegetables and fruits,Apples (red),KG,2.05,2/15/2013
2/15/2013,National Average,vegetables and fruits,Bananas,KG,0.83,2/15/2013
2/15/2013,National Average,vegetables and fruits,Cucumbers,KG,0.68,2/15/2013
2/15/2013,National Average,vegetables and fruits,Garlic,KG,2.65,2/15/2013
2/15/2013,National Average,vegetables and fruits,Onions,KG,0.68,2/15/2013
2/15/2013,National Average,vegetables and fruits,Oranges (big size),KG,0.6,2/15/2013
2/15/2013,National Average,vegetables and fruits,Tomatoes,KG,0.48,2/15/2013
3/15/2013,National Average,cereals and tubers,Bread (pita),KG,0.17,3/15/2013
3/15/2013,National Average,cereals and tubers,Potatoes,KG,0.78,3/15/2013
3/15/2013,National Average,cereals and tubers,Rice (imported),KG,1.15,3/15/2013
3/15/2013,National Average,"meat, fish and eggs",Eggs,2 KG,3.65,3/15/2013
3/15/2013,National Average,"meat, fish and eggs",Meat (beef),KG,9.26,3/15/2013
3/15/2013,National Average,"meat, fish and eggs",Meat (chicken),KG,2.37,3/15/2013
3/15/2013,National Average,"meat, fish and eggs","Meat (chicken, whole)",KG,1.74,3/15/2013
3/15/2013,National Average,"meat, fish and eggs",Meat (lamb),KG,12.03,3/15/2013
3/15/2013,National Average,milk and dairy,"Cheese (white, boiled)",KG,4.54,3/15/2013
3/15/2013,National Average,milk and dairy,Milk (pasteurized),L,1.16,3/15/2013
3/15/2013,National Average,miscellaneous food,Sugar,KG,0.79,3/15/2013
3/15/2013,National Average,oil and fats,Oil (olive),KG,5.07,3/15/2013
3/15/2013,National Average,oil and fats,Oil (vegetable),1.8 L,1.91,3/15/2013
3/15/2013,National Average,pulses and nuts,"Beans (fava, dry)",KG,1.49,3/15/2013
